id,symbol,pool1,pool2,path,gasAmount,enabled,gasAmountArcher
I0001,weth2uni2weth_uniswap2sushiswap,P0001,P0002,"T0002, T0001, T0002",181685,1,266685
I0002,weth2usdc2weth_uniswap2sushiswap,P0003,P0004,"T0002, T0003, T0002",197407,1,282407
I0003,weth2wbtc2weth_uniswap2sushiswap,P0005,P0006,"T0002, T0004, T0002",183209,1,268209
I0004,weth2wbtc2weth_sushiswap2uniswap,P0006,P0005,"T0002, T0004, T0002",183216,1,268216
I0005,weth2link2weth_uniswap2sushiswap,P0007,P0008,"T0002, T0005, T0002",178473,1,263473
I0006,weth2link2weth_sushiswap2uniswap,P0008,P0007,"T0002, T0005, T0002",178480,1,263480
I0007,weth2dai2weth_uniswap2sushiswap,P0009,P0010,"T0002, T0006, T0002",174114,1,259114
I0008,weth2dai2weth_sushiswap2uniswap,P0010,P0009,"T0002, T0006, T0002",174121,1,259121
I0009,weth2sushi2weth_uniswap2sushiswap,P0011,P0012,"T0002, T0007, T0002",179679,1,264679
I0010,weth2sushi2weth_sushiswap2uniswap,P0012,P0011,"T0002, T0007, T0002",179662,1,264662
I0011,weth2yfi2weth_uniswap2sushiswap,P0013,P0014,"T0002, T0008, T0002",179900,1,264900
I0012,weth2yfi2weth_sushiswap2uniswap,P0014,P0013,"T0002, T0008, T0002",179907,1,264907
I0013,weth2kp3r2weth_uniswap2sushiswap,P0015,P0016,"T0002, T0009, T0002",172611,1,257611
I0014,weth2kp3r2weth_sushiswap2uniswap,P0016,P0015,"T0002, T0009, T0002",172618,1,257618
I0015,weth2snx2weth_uniswap2sushiswap,P0017,P0018,"T0002, T0010, T0002",275851,1,357012
I0016,weth2snx2weth_sushiswap2uniswap,P0018,P0017,"T0002, T0010, T0002",275858,1,357012
I0017,weth2band2weth_uniswap2sushiswap,P0019,P0020,"T0002, T0011, T0002",247061,1,384077
I0018,weth2band2weth_sushiswap2uniswap,P0020,P0019,"T0002, T0011, T0002",247092,1,384078
I0019,weth2ampl2weth_uniswap2sushiswap,P0021,P0022,"T0002, T0012, T0002",193138,1,278583
I0020,weth2ampl2weth_sushiswap2uniswap,P0022,P0021,"T0002, T0012, T0002",193145,1,278583
I0021,weth2inj2weth_uniswap2sushiswap,P0023,P0024,"T0002, T0013, T0002",179965,1,264965
I0022,weth2inj2weth_sushiswap2uniswap,P0024,P0023,"T0002, T0013, T0002",179972,1,264972
I0023,weth2arch2weth_uniswap2sushiswap,P0025,P0026,"T0002, T0014, T0002",172565,1,252565
I0024,weth2arch2weth_sushiswap2uniswap,P0026,P0025,"T0002, T0014, T0002",172572,1,252572
I0025,weth2crv2weth_uniswap2sushiswap,P0027,P0028,"T0002, T0015, T0002",177401,1,257401
I0026,weth2crv2weth_sushiswap2uniswap,P0028,P0027,"T0002, T0015, T0002",177408,1,257408
I0027,weth2susd2weth_uniswap2sushiswap,P0029,P0030,"T0002, T0016, T0002",312842,1,392842
I0028,weth2susd2weth_sushiswap2uniswap,P0030,P0029,"T0002, T0016, T0002",312873,1,392873
I0029,weth2hegic2weth_uniswap2sushiswap,P0031,P0032,"T0002, T0017, T0002",179430,1,259430
I0030,weth2hegic2weth_sushiswap2uniswap,P0032,P0031,"T0002, T0017, T0002",179437,1,259437
I0031,weth2comp2weth_uniswap2sushiswap,P0033,P0034,"T0002, T0018, T0002",182113,1,262113
I0032,weth2comp2weth_sushiswap2uniswap,P0034,P0033,"T0002, T0018, T0002",182120,1,262120
I0033,weth2wnxm2weth_uniswap2sushiswap,P0035,P0036,"T0002, T0019, T0002",179716,1,259716
I0034,weth2wnxm2weth_sushiswap2uniswap,P0036,P0035,"T0002, T0019, T0002",179711,1,259711
I0035,weth2usdc2weth_sushiswap2uniswap,P0004,P0003,"T0002, T0003, T0002",197438,1,277438
I0036,weth2mkr2weth_uniswap2sushiswap,P0037,P0038,"T0002, T0020, T0002",175089,1,255089
I0037,weth2mkr2weth_sushiswap2uniswap,P0038,P0037,"T0002, T0020, T0002",175096,1,255096
I0038,weth2wbtc2weth_crypto2sushiswap,P0039,P0006,"T0002, T0004, T0002",186731,1,266731
I0039,weth2wbtc2weth_sushiswap2crypto,P0006,P0039,"T0002, T0004, T0002",186738,1,266738
I0040,weth2wbtc2weth_crypto2uniswap,P0039,P0005,"T0002, T0004, T0002",185786,1,265786
I0041,weth2wbtc2weth_uniswap2crypto,P0005,P0039,"T0002, T0004, T0002",185786,1,265786
I0042,weth2cro2weth_crypto2uniswap,P0040,P0041,"T0002, T0021, T0002",186097,1,266097
I0043,weth2cro2weth_uniswap2crypto,P0041,P0040,"T0002, T0021, T0002",186097,1,266097
I0044,weth2usdc2weth_crypto2uniswap,P0042,P0003,"T0002, T0003, T0002",200008,1,280008
I0045,weth2usdc2weth_uniswap2crypto,P0003,P0042,"T0002, T0003, T0002",200008,1,280008
I0046,weth2usdc2weth_crypto2sushiswap,P0042,P0004,"T0002, T0003, T0002",200953,1,280953
I0047,weth2usdc2weth_sushiswap2crypto,P0004,P0042,"T0002, T0003, T0002",200936,1,280936
I0048,weth2link2weth_crypto2uniswap,P0043,P0007,"T0002, T0005, T0002",181038,1,261038
I0049,weth2link2weth_uniswap2crypto,P0007,P0043,"T0002, T0005, T0002",181026,1,261026
I0050,weth2link2weth_crypto2sushiswap,P0043,P0008,"T0002, T0005, T0002",181983,1,261983
I0051,weth2link2weth_sushiswap2crypto,P0008,P0043,"T0002, T0005, T0002",182002,1,262002
I0052,weth2comp2weth_crypto2uniswap,P0044,P0033,"T0002, T0018, T0002",184690,1,264690
I0053,weth2comp2weth_uniswap2crypto,P0033,P0044,"T0002, T0018, T0002",184690,1,264690
I0054,weth2comp2weth_crypto2sushiswap,P0044,P0034,"T0002, T0018, T0002",185635,1,265635
I0055,weth2comp2weth_sushiswap2crypto,P0034,P0044,"T0002, T0018, T0002",185642,1,265642
I0056,weth2yfi2weth_crypto2uniswap,P0045,P0013,"T0002, T0008, T0002",182477,1,262477
I0057,weth2yfi2weth_uniswap2crypto,P0013,P0045,"T0002, T0008, T0002",182477,1,262477
I0058,weth2yfi2weth_crypto2sushiswap,P0045,P0014,"T0002, T0008, T0002",183422,1,263422
I0059,weth2yfi2weth_sushiswap2crypto,P0014,P0045,"T0002, T0008, T0002",183429,1,263429
I0060,weth2uni2weth_crypto2sushiswap,P0046,P0002,"T0002, T0001, T0002",185207,1,265207
I0061,weth2uni2weth_sushiswap2crypto,P0002,P0046,"T0002, T0001, T0002",185214,1,265214
I0062,weth2uni2weth_crypto2uniswap,P0046,P0001,"T0002, T0001, T0002",184238,1,264238
I0063,weth2uni2weth_uniswap2crypto,P0001,P0046,"T0002, T0001, T0002",184262,1,264262
I0064,weth2dai2weth_crypto2sushiswap,P0047,P0010,"T0002, T0006, T0002",177636,1,257636
I0065,weth2dai2weth_sushiswap2crypto,P0010,P0047,"T0002, T0006, T0002",177643,1,257643
I0066,weth2dai2weth_crypto2uniswap,P0047,P0009,"T0002, T0006, T0002",176691,1,256691
I0067,weth2dai2weth_uniswap2crypto,P0009,P0047,"T0002, T0006, T0002",176691,1,256691
I0068,weth2usdt2weth_crypto2uniswap,P0048,P0049,"T0002, T0022, T0002",186750,1,266750
I0069,weth2usdt2weth_uniswap2crypto,P0049,P0048,"T0002, T0022, T0002",186774,1,266774
I0070,weth2usdt2weth_crypto2sushiswap,P0048,P0050,"T0002, T0022, T0002",187719,1,267719
I0071,weth2usdt2weth_sushiswap2crypto,P0050,P0048,"T0002, T0022, T0002",187726,1,267726
I0072,weth2usdt2weth_sushiswap2uniswap,P0050,P0049,"T0002, T0022, T0002",184204,1,264204
I0073,weth2usdt2weth_uniswap2sushiswap,P0049,P0050,"T0002, T0022, T0002",184197,1,264197
I0074,weth2aave2weth_crypto2uniswap,P0051,P0052,"T0002, T0023, T0002",339818,1,419818
I0075,weth2aave2weth_uniswap2crypto,P0052,P0051,"T0002, T0023, T0002",339818,1,419818
I0076,weth2ren2weth_crypto2uniswap,P0053,P0054,"T0002, T0024, T0002",185130,1,265130
I0077,weth2ren2weth_uniswap2crypto,P0054,P0053,"T0002, T0024, T0002",185130,1,265130
